iter	Passed	Remaining
0	6	1366
1	14	1467
2	22	1493
3	30	1483
4	38	1507
5	45	1482
6	53	1474
7	61	1471
8	69	1465
9	76	1453
10	85	1463
11	92	1449
12	100	1444
13	108	1436
14	115	1424
15	122	1413
16	130	1404
17	137	1391
18	145	1384
19	153	1382
20	161	1377
21	169	1370
22	178	1370
23	186	1370
24	194	1363
25	202	1355
26	210	1349
27	218	1341
28	226	1332
29	233	1325
30	242	1322
31	250	1315
32	258	1308
33	267	1303
34	275	1297
35	283	1289
36	291	1282
37	299	1274
38	307	1269
39	315	1261
40	323	1254
41	331	1246
42	339	1238
43	347	1232
44	355	1226
45	363	1217
46	372	1211
47	380	1205
48	388	1196
49	396	1190
50	405	1183
51	413	1175
52	421	1167
53	429	1162
54	437	1153
55	445	1144
56	454	1139
57	461	1130
58	469	1123
59	477	1115
60	486	1109
61	495	1101
62	503	1094
63	511	1086
64	518	1077
65	527	1070
66	536	1064
67	544	1056
68	552	1049
69	561	1042
70	570	1035
71	578	1028
72	587	1021
73	594	1012
74	603	1005
75	610	996
76	618	988
77	626	980
78	635	973
79	643	965
80	652	958
81	660	950
82	668	942
83	675	933
84	684	925
85	692	917
86	699	909
87	707	901
88	716	893
89	724	885
90	732	876
91	740	869
92	748	861
93	756	853
94	765	845
95	773	838
96	782	830
97	789	822
98	797	814
99	805	805
100	813	797
101	820	788
102	828	780
103	836	772
104	845	764
105	852	756
106	860	748
107	868	739
108	875	731
109	883	722
110	891	714
111	898	705
112	905	697
113	912	688
114	920	680
115	927	671
116	935	663
117	942	655
118	949	646
119	957	638
120	965	630
121	972	621
122	980	613
123	988	605
124	995	597
125	1003	589
126	1010	580
127	1017	572
128	1025	564
129	1033	556
130	1040	548
131	1047	539
132	1056	532
133	1064	524
134	1071	515
135	1079	507
136	1086	499
137	1094	491
138	1102	483
139	1109	475
140	1117	467
141	1125	459
142	1133	451
143	1140	443
144	1148	435
145	1155	427
146	1163	419
147	1170	411
148	1177	403
149	1185	395
150	1193	387
151	1201	379
152	1208	371
153	1216	363
154	1224	355
155	1233	347
156	1240	339
157	1248	331
158	1256	323
159	1263	315
160	1271	308
161	1279	300
162	1286	292
163	1294	284
164	1301	276
165	1309	268
166	1317	260
167	1325	252
168	1332	244
169	1339	236
170	1347	228
171	1354	220
172	1362	212
173	1369	204
174	1377	196
175	1385	188
176	1392	180
177	1400	173
178	1408	165
179	1415	157
180	1424	149
181	1431	141
182	1439	133
183	1446	125
184	1454	117
185	1461	110
186	1469	102
187	1476	94
188	1484	86
189	1492	78
190	1499	70
191	1507	62
192	1515	54
193	1524	47
194	1531	39
195	1539	31
196	1547	23
197	1554	15
198	1562	7
199	1569	0
